,title,price,source,product_link,thumbnail,rating,reviews
52,H&M Men's LDN Loose Fit Printed T-shirt,"₹1,999",H&M,https://www.google.com/shopping/product/9274512173501423089?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQinGV13It7DSZwcAlzbTO-HfgyEz8M_gdvIfS7q2nYmiDGYTU0fJhfnqyVu8fIUOj1TS1h3fh_EUKjhh4D2gUVJjeyhM6KDJgKvrL9B-46PXkPbIN_nBnQB0s,4.5,11.0
53,Men Mufti Graphic Print Cotton T-shirt,₹735,Mufti Jeans,https://www.google.com/shopping/product/157442951245296412?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRjmqAEZIPIE03-7NHfh7_p5o4Ojnsu7gUvG9l5CHyUpflQ2ut5nmL4wRdHI9N6SHNUzgmoQXJXISn_VZsQa8aj6Obe-_FL53Gza5bShIKTUmn_r-LkQqwqYw,3.5,8.0
54,The Souled Store Men's Batman Bat Signal Tie Dye Oversized T-Shirt,₹949,Amazon.in,https://www.google.com/shopping/product/315014773305950558?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQwATSGrZppuTyT0WHSDDFkiTsdjRuPYSoKwcRoetCDFrC1a7MzucA0m43Igp9g7pK98kCSZywwg_vQJ_nxaWNHX6AKqmwOsBr165T3kKXz6OSZ9QAz04F9oA,4.9,8.0
55,Mufti Abstract Men Crew Neck,₹735,Mufti Jeans,https://www.google.com/shopping/product/15021696541106151978?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQKdu2Q9Eu5A2X9fSyG5wo7L-wSDNJmEl77_09CvzWh7uRNh3OQTcSnLUo70uqq_vfRQYb1mtcdGPKFwXJVxTrUsWSxyFF0h9nqItyIzqXJTHEXfzDsC-DTEA,4.7,3.0
56,Mufti Men's Floral Cotton T-shirt,₹770,Mufti Jeans,https://www.google.com/shopping/product/17316118030872502563?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQg1KoOKD0qTGS0uErnOezzGOwzHUaDAPOxEAqgzYPH_rLDgkzYm_-h2rYu3OPGczN-ruS25L8PhOvLhoWOjAXwAug1vuRwvIf5RfwS1ku44xMSadeUsFxw,5.0,1.0
57,The Indian Garage Co Men's Metaverse Oversized Round Neck T-Shirt,₹455,Nykaa Fashion,https://www.google.com/shopping/product/14380599865391029180?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTKvEe9eIxXUDJyB-RHi5-Ewu2fHnuPo3tC6sTFSQF41FygG86NgYjg7DWGSnG8rdfaRmbgEdT3_ppuPcWvoEaoFioR_v-XAGIqcTA_tBs94McO07g1JaqeyA,3.2,5.0
58,Levi's Men's Graphic Print Crew Neck T-Shirt,₹599,Amazon.in,https://www.google.com/shopping/product/13254223502998896570?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT1Mot0_wCAcIrkY6T2P_wCFak3PFHYqSk-qm8UaNQygSsjHMPytvSz8PmiCuB5CkjYpVaP8Lxn1N-ipdlPVIn1jb3o-UVHBRjac5e7RF2iSpouh-NtomZA,4.5,8.0
59,Men's Print Oversized Fit Round Neck Tshirt,"₹1,169.10",thebearhouse.com,https://www.google.com/shopping/product/15273396430689860631?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRc_KJLgGZIa3UuFCTyEfj3xbAUZjfLy3hc8ssq1ViV_c8xD4oDdohYOm12bUVvGXvmbVIK9KJAFA_-beiR0sfrraXSVq4n9DmLzh7mm8k2-lyeTY_I3mak,5.0,2.0
60,Difference of Opinion Men's Oversized Drop Shoulder T-Shirt,₹539,Myntra,https://www.google.com/shopping/product/1834004606274300047?gl=in,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ_MwLZSEErTLiLDkUeCC253S8OASoNkbZHhNgZJWnWDKb4sL2DuXlwSaOTUoTDiZ7QUp1F9297HG3ncoB-2cC3ffup7qNPAMdoWRlmJfe4v-7Q2H-a2UZS,4.5,2.0
61,Men Mufti Graphic Print Cotton T-shirt,₹735,Mufti Jeans,https://www.google.com/shopping/product/157442951245296412?gl=in,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRgd5zGpqBx-qLvBA3R6UxhCvCt9czHNvBKDeUrDfcfmqMa-AGfZVEil51m3KOmT_NfQY_BpfLYScFbOZukgN-NiUg-GV5StA4KXx33LHojcdbnAuK_i2UdIQ,3.5,8.0
62,Beat London Men's Graphic Print Crew Neck T-shirt,₹479,Myntra,https://www.google.com/shopping/product/12592907419490777411?gl=in,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSkz5RmZYefykaI_GUJrV8Aql4YORhLk2uD10fShwZM-hQdUCsIofPwGx3_mNRQtaEXD_V44nT6dZvT-1YRSYcFzawPCpdMTnQeGdJeVMyyNJcTdvGm4ECARA,4.5,4.0
